term,estimate,se_HC3,p_value,ci_lo,ci_hi
Intercept,20.20075712753571,7.6837868329504175,0.00856336885023011,5.140811670069807,35.26070258500161
C(sex)[T.M],1.3430567332839023,0.4854584261195064,0.005664870019941446,0.39157570209817105,2.2945377644696334
C(internet)[T.yes],0.34972966189875415,0.6236994829150836,0.5749787148208421,-0.8726988617910645,1.572158185588573
C(famsup)[T.yes],-1.005169240498961,0.4755455454226244,0.0345393491658762,-1.9372213825357611,-0.07311709846216075
C(paid)[T.yes],0.5322112092657779,0.46785925814839385,0.2553103011694099,-0.3847760865387019,1.4491985050702576
C(studytime)[T.2],0.08875748003391401,0.5332660747144798,0.8678097020778864,-0.9564248205835121,1.13393978065134
C(studytime)[T.3],1.3776843690548939,0.7453677605322465,0.06455485572805547,-0.08320959682558482,2.838578334935373
C(studytime)[T.4],0.5795387113301825,1.229081489340933,0.6372681585471215,-1.8294167418428962,2.9884941645032614
C(failures)[T.1],-2.6051708880292854,0.7495331619436733,0.0005094750825718972,-4.074228890657313,-1.136112885401258
C(failures)[T.2],-4.410531595639822,1.2410158002528802,0.00037946404034977515,-6.84287786838062,-1.978185322899023
C(failures)[T.3],-4.935766518948698,1.2224920661406344,5.403235700249725e-05,-7.331806939970299,-2.539726097927097
C(Walc)[T.2],-0.3293015789933399,0.6153365932674215,0.592541417006879,-1.535339140167058,0.8767359821803781
C(Walc)[T.3],0.20448480185874032,0.6090315495289511,0.7370563526035965,-0.9891951006666261,1.3981647043841068
C(Walc)[T.4],-1.3543917318269558,0.6566018367692255,0.03913837119318592,-2.641307684077485,-0.06747577957642648
C(Walc)[T.5],0.04194216197819359,0.9610738469407951,0.9651906207777222,-1.8417279645091251,1.9256122884655125
C(Medu)[T.1],-4.755899709819971,1.181939057618915,5.7263810725939484e-05,-7.072457694674256,-2.439341724965686
C(Medu)[T.2],-4.701845593796696,1.1420185885941396,3.8361008777607467e-05,-6.940160897116474,-2.463530290476917
C(Medu)[T.3],-3.7888861478087006,1.1509370077379257,0.0009947714509198576,-6.044681231449332,-1.5330910641680688
C(Medu)[T.4],-3.2697888244347864,1.181500180557965,0.005648994132959516,-5.585486626055969,-0.9540910228136039
C(Fedu)[T.1],-0.3092446929714989,6.907615932502201,0.9642917075931389,-13.847923139710872,13.229433753767875
C(Fedu)[T.2],-0.34165032774055504,6.898876770506185,0.9605028255985142,-13.863200331712676,13.179899676231567
C(Fedu)[T.3],-0.6758022623218478,6.907221422202802,0.922059376709506,-14.213707483082871,12.862102958439177
C(Fedu)[T.4],-0.33603987746507,6.907059464115089,0.9611969035496046,-13.87362766620717,13.201547911277029
age,-0.33992805951773275,0.2019698184302272,0.09236277063226407,-0.7357816296050721,0.055925510569606596
absences,0.05810331737368293,0.036175389405888755,0.10823964654317525,-0.01279914298857085,0.12900577773593672
