term,estimate,se_HC3,p_value,ci_lo,ci_hi
Intercept,2.116922077280691,1.996021632445132,0.2888850400687667,-1.7952084346746133,6.029052589235995
C(sex)[T.M],0.22705114763696763,0.21296329727527158,0.2863551436512555,-0.1903492450514617,0.644451540325397
C(internet)[T.yes],-0.3195899313625857,0.25440455583601707,0.2090335955809921,-0.8182136983040884,0.179033835578917
C(famsup)[T.yes],0.18186247497860492,0.2224370455444328,0.4135909006218027,-0.2541061231159791,0.6178310730731889
C(paid)[T.yes],0.10301861378598942,0.20427577458984095,0.6140425267302967,-0.29735454732412114,0.5033917748961
C(studytime)[T.2],-0.12890791222573772,0.21975992918614085,0.5574823548234712,-0.5596294586756465,0.301813634224171
C(studytime)[T.3],0.10423628777377844,0.27710890950237094,0.7068006322860059,-0.43888719464603776,0.6473597701935947
C(studytime)[T.4],-0.836387479455523,0.6337106262520171,0.1868932671185991,-2.0784374835297994,0.4056625246187535
C(failures)[T.1],-0.9467258382350818,0.40644223254501255,0.019843185420216305,-1.74333797581936,-0.15011370065080376
C(failures)[T.2],-0.7194915262135877,0.5637737407792696,0.2018826482955488,-1.8244677535703764,0.385484701143201
C(failures)[T.3],-0.3567557032604085,0.8617290214580727,0.6788742016980525,-2.0457135497511745,1.3322021432303575
C(Walc)[T.2],-0.15154302534075767,0.28158051072841056,0.5904478191898859,-0.7034306851168367,0.4003446344353213
C(Walc)[T.3],0.0726246941821922,0.24977140293749747,0.7712313241227248,-0.4169182599433447,0.5621676483077291
C(Walc)[T.4],0.24647444725191509,0.2692455901259646,0.35996796857397617,-0.28123721239120875,0.7741861068950389
C(Walc)[T.5],0.25481157765408247,0.3916996305967022,0.5153512207391995,-0.5129055910730973,1.0225287463812622
C(Medu)[T.1],-0.7528188303609712,0.9830153358113521,0.443779764257323,-2.6794934848017684,1.1738558240798258
C(Medu)[T.2],-0.8985348654456597,0.947217157021563,0.342821582386034,-2.7550463787463446,0.9579766478550249
C(Medu)[T.3],-0.5555165613758906,0.9459399288687242,0.5570263476987214,-2.409524753496971,1.2984916307451895
C(Medu)[T.4],-0.6565171354135911,0.9332306200551028,0.4817512866607667,-2.4856155399915756,1.1725812691643935
C(Fedu)[T.1],0.28606360967908023,1.121089178981251,0.7985950497650545,-1.91123080458175,2.4833580239399105
C(Fedu)[T.2],-0.4817035872782126,1.1288047648143182,0.6695703633356569,-2.6941202718914825,1.730713097335057
C(Fedu)[T.3],-0.08851050280083653,1.1499986257536623,0.9386507943767962,-2.342466391548571,2.165445385946898
C(Fedu)[T.4],-0.4781428721731895,1.135192354560241,0.6736091392818768,-2.7030790026364855,1.7467932582901062
age,-0.17918552684121714,0.09620684136511638,0.06253222856872351,-0.36774747098320354,0.009376417300769269
absences,0.046460258595519825,0.018407969682470333,0.011605405320171588,0.01038130098937276,0.08253921620166689
G1,0.1783270156744118,0.049792554719068946,0.00034175899318946855,0.08073540172679676,0.27591862962202685
G2,0.9558186173660645,0.033241192776186076,8.062927863271399e-182,0.8906670767215868,1.0209701580105424
